"youtube","facebook","log_newspaper","sales","youtube_facebook_interaction"
0.967424597376304,0.979065590964311,1.25856494675976,26.52,0.947172135143642
-1.19437903592643,1.08009740070884,0.779136313129983,12.48,-1.29004569216527
-1.51235985052322,1.52463736358477,1.26018684294854,11.16,-2.30580033529318
0.0519193949108132,1.21480648036821,1.07010354964953,22.2,0.0630720173944522
0.393195507280265,-0.839506984437203,1.06818618278594,15.48,-0.330090374611111
-1.61136486605702,1.72670098307382,1.34900664247273,8.64,-2.78234529831128
-1.04295960040415,0.642292891815883,0.0569544026559866,14.16,-0.669885537790719
-0.312652015231297,-0.246787033935968,-0.706286840524249,15.84,0.0771584634930349
-1.61252963094566,-1.42549148095547,-2.88216866228215,5.76,2.2986472517013
0.614500836120523,-1.39181421104063,-0.0559072165834111,12.72,-0.855270996408891
